Invoice ID,Branch,CustomerID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Longitude,Latitude
750-67-8428,A,C1888,Yangon,Member,Female,Health and beauty,74.69,10,37.345,746.9,21-02-2019,13:08,Ewallet,711.3333333,4.761904762,35.56666667,9.1,96.1735,16.8409
226-31-3081,C,C1475,Naypyitaw,Normal,Female,Health and beauty,15.28,6,4.584,91.68,27-05-2019,10:29,Cash,76.4,4.761904762,15.28,10,96.0785,19.7633
631-41-3108,A,C1746,Yangon,Normal,Male,Health and beauty,46.33,7,16.2155,324.31,27-12-2019,13:23,Credit card,324.31,4.761904762,0,7.4,96.1735,16.8409
123-19-1176,A,C1896,Yangon,Member,Male,Health and beauty,58.22,11,32.021,640.42,15-11-2019,20:33,Ewallet,465.76,4.761904762,174.66,8.4,96.1735,16.8409
373-73-7910,A,C1790,Yangon,Normal,Male,Health and beauty,86.31,7,30.2085,604.17,31-03-2019,10:37,Ewallet,604.17,4.761904762,0,,96.1735,16.8409
699-14-3026,C,C1423,Naypyitaw,Normal,Male,Health and beauty,85.39,8,34.156,683.12,06-01-2019,18:30,Ewallet,597.73,4.761904762,85.39,,96.0785,19.7633
355-53-5943,A,C1723,Yangon,Normal,Female,Health and beauty,68.84,6,20.652,413.04,15-12-2019,14:36,Ewallet,413.04,4.761904762,0,,96.1735,16.8409
315-22-5665,C,C1471,Naypyitaw,,Female,Health and beauty,73.56,12,44.136,882.72,14-06-2019,11:38,Ewallet,735.6,4.761904762,147.12,,96.0785,19.7633
665-32-9167,A,C1707,Yangon,,Female,Health and beauty,36.26,2,3.626,72.52,25-11-2019,17:15,Credit card,72.52,4.761904762,0,,96.1735,16.8409
692-92-5582,B,C1277,Mandalay,,Female,Health and beauty,54.84,4,10.968,219.36,10-04-2019,13:27,Credit card,164.52,4.761904762,54.84,,96.0891,21.9588
351-62-0822,B,C1300,Mandalay,,Female,Health and beauty,14.48,6,4.344,86.88,23-07-2019,18:07,Ewallet,57.92,4.761904762,28.96,,96.0891,21.9588
529-56-3974,B,C1264,Mandalay,,Male,Health and beauty,25.51,6,,153.06,26-08-2019,17:03,Cash,102.04,4.761904762,51.02,,96.0891,21.9588
365-64-0515,A,C1710,Yangon,Normal,Female,Electronic accessories,46.95,5,,234.75,25-08-2019,10:25,Ewallet,234.75,4.761904762,0,,96.1735,16.8409
252-56-2699,A,C1726,Yangon,Normal,Male,Food and beverages,43.19,10,,431.9,02-10-2019,16:48,Ewallet,431.9,4.761904762,0,8.2,96.1735,16.8409
829-34-3910,A,C1702,Yangon,Normal,Female,Health and beauty,71.38,10,,713.8,23-11-2019,19:21,Cash,713.8,4.761904762,0,5.7,96.1735,16.8409
299-46-1805,B,C1280,Mandalay,Member,Female,Sports and travel,93.72,11,,1030.92,15-07-2019,16:19,Cash,562.32,4.761904762,468.6,5.4,96.0891,21.9588
656-95-9349,A,C1799,Yangon,Member,Female,Health and beauty,68.93,10,,689.3,02-12-2019,11:03,Credit card,482.51,4.761904762,206.79,4.6,96.1735,16.8409
765-26-6951,A,C1669,Yangon,Normal,Male,Sports and travel,72.61,6,,435.66,09-03-2019,10:39,Credit card,435.66,4.761904762,0,6.9,96.1735,16.8409
329-62-1586,A,C1645,Yangon,Normal,Male,Food and beverages,54.67,3,,164.01,09-07-2019,18:00,Credit card,164.01,4.761904762,0,8.6,96.1735,16.8409
319-50-3348,B,C1207,Mandalay,Normal,Female,Home and lifestyle,40.3,3,,120.9,08-05-2019,15:30,Ewallet,80.6,4.761904762,40.3,5.28,96.0891,21.9588
300-71-4605,C,C1462,Naypyitaw,Member,Male,Electronic accessories,86.04,8,,688.32,18-10-2019,11:24,Ewallet,430.2,4.761904762,258.12,5.04,96.0785,19.7633
